Timestamp,Sender Redacted,Recipients Redacted,Filters,SMS Message Type,Preview
XX/XX/2015  09:17:53,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/11-0a.JqjM+1q/
XX/XX/2015  09:17:31,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/4w&XK6hyuCDNy
XX/XX/2015  09:19:13,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/cN1lDag=YYevy
XX/XX/2015  09:24:49,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/cSBtTn8I.xAC-
XX/XX/2015  09:33:38,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/cSBtTn8I.xAC-
XX/XX/2015  09:35:26,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/cSBtTn8I.xAC-
XX/XX/2015  09:36:40,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/cSBtTn8I.xAC-
XX/XX/2015  09:19:40,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/hd27g=~NxJW/7
XX/XX/2015  09:24:51,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/hd27g=~NxJW/7
XX/XX/2015  09:22:32,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/HIf77NB91zR2J
XX/XX/2015  09:21:16,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/JjF+bNSR2.Evb
XX/XX/2015  09:28:22,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/JjF+bNSR2.Evb
XX/XX/2015  09:32:12,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/JjF+bNSR2.Evb
XX/XX/2015  09:04:41,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/oVGqFfVy5yOwC
XX/XX/2015  09:23:29,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/oVGqFfVy5yOwC
XX/XX/2015  09:30:34,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/RKb4yQnxNzypn
XX/XX/2015  09:37:42,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/RKb4yQnxNzypn
XX/XX/2015  09:23:27,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/TD0RtjvAbWP7t
XX/XX/2015  09:18:38,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/TD0RtjvAbWP7t
XX/XX/2015  09:33:16,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/TD0RtjvAbWP7t
XX/XX/2015  09:21:18,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/uTBLeV~SS__?M
XX/XX/2015  09:27:52,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/uTBLeV~SS__?M
XX/XX/2015  09:34:28,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/uTBLeV~SS__?M
XX/XX/2015  09:26:12,1801XXXX588,#XXX#,Suspicious Filter V,MO,Dice with Buddies -- just download it. http://REDACTED/Y2GWg-TZ.iN.a
XX/XX/2015  09:24:53,1801XXXX588,#XXX#,Suspicious Filter V,MO,"I CHALLENGE THEE (to REDACTED with Buddies on your phone)! I'm ""REDACTED"". http://REDACTED/~rHMDL/EJoGG"
XX/XX/2015  09:30:59,1801XXXX588,#XXX#,Suspicious Filter V,MO,"I CHALLENGE THEE (to REDACTED with Buddies on your phone)! I'm ""REDACTED"". http://REDACTED/~rHMDL/EJoGG"
